VarCategory,VarDescription,VarName,Note,EffectType,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M20
,Surveyor,Surveyor,,Random,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Year ,Year,,Random,,,,,,,,,,,,,,,,,,1
,Reach,Reach,,Random,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Environment,Stream width,AveWidth,,Fixed,1,1,1,,,,,,,,,,,,,,1,
Environment,Stream depth,AveDepth,,Fixed,1,1,1,,,,,,,,,,,,,,1,
Environment,Reach gradient,Slope,,Fixed,1,1,1,,,,,,,,,,,,,,1,
Environment,Overhead canopy cover,AveCanopy,,Fixed,1,,,,,1,,,,,,,,,,,,
Environment,Current year peak flow at MF gauge,PeakQ,Confounded w Year,Fixed,1,,,,1,,,,,,,,,,,,,
Environment,Density of “others”,OthrDens,,Fixed,1,,,1,,,,,,,,,,,,1,,
Environment,Last year’s aerial count,LYabund,Confounded w Year,Fixed,1,,,,1,,,,,,,,,,,,,
Environment,Percent of redds in the sun (air only),AveSunny,,Fixed,,,,,,,,,,,,,,,,,,
Surveyor,Experience level (ground only),ExperienceCat,,Fixed,1,,,,,,,,,,,,1,1,1,1,1,
Redd,Contrast with substrate,AveContrast,,Fixed,1,,,,,,,,,,1,1,,,1,,,
Redd,Avg nearest neighbor distance,ANNDist,,Fixed,,,,,,,,,,,,,,,,,,
Redd,Density of redds (current year),redd_dens,,Fixed,1,,,,,,1,1,,,,,,1,,,,
Redd,Overlap with other redds,AveOverlap,,Fixed,1,,,,,,1,,,1,,1,,,1,,,
Redd,Age,AveAge,,Fixed,1,,,,,,,,,,,1,,,1,,,
Interaction,Last year's redds (aerial count) visible,LYabund*PeakQ," Confounded w Year, Always include interaction b/c that's where we believe true effect is.",Fixed,1,,,,1,,,,,,,,,,,,,
Environment,Poor survey conditions (air only),AveBadCond,If there is an effect here consider removing records from dataset where AveBadCond=yes,Fixed,,,,,,,,,,,,,,,,,,
Redd,IDFG Escapement Estimate for MFSR ,EscapeEst,Confounded w Year. EscapeEst as surrogate for redd_density when density and clustering of true redds unknown,Fixed,,,,,,,,,,,,,,,,,,
Environment,Log transformed ANNDist,log(ANNDist),Use log because range is very large.,Fixed,1,,,,,,1,,1,,,,,,,,,
Environment,Stream depth x^2,AveDepth*AveDepth,"Expect threshold effect - at certain depth, omissions increase dramatically",Fixed,1,1,,,,,,,,,,,,,,,1,
